"soloistinstrument","cleaname"
"Piano","Anthem"
"Bass","Anthem"
"Chorus","Anthem"
"Mezzo-Soprano","Anthem"
"Chorus","Anthem"
"Mezzo-Soprano","Anthem"
"Sing-Along","Anthem"
"Sing-Along","Anthem"
"Chorus","Anthem"
"Chorus","Anthem"
"Vocalist","Anthem"
"Children's Chorus","Anthem"
"Children's Chorus","Anthem"
"Chorus","Anthem"
"Chorus","Anthem"
"Children's Chorus","Anthem"
"Piano","Anthem"
"Piano","Anthem"
"Piano","Anthem"
"Chorus","Anthem"
"Orchestra","Anthem"
"Sing-Along","Anthem"
"Baritone","Anthem"
"Sing-Along","Anthem"
"Baritone","Anthem"
"Jazz Ensemble","Anthem"
"Chorus","Anthem"
"Sing-Along","Anthem"
"Chorus","Anthem"
"Soprano","Anthem"
"Vocalist","Anthem"
"Vocalist","Anthem"
"Band","Anthem"
"Vocalist","Anthem"
"Orchestra","Anthem"
"Sing-Along","Anthem"
"Children's Chorus","Anthem"
"Children's Chorus","Anthem"
"Guest Orchestra","Anthem"
"Vocalist","Anthem"
"Tenor","Anthem"
"Baritone","Anthem"
"Vocalist","Anthem"
"Vocalist","Anthem"
"Vocalist","Anthem"
"Piano","Anthem"
"Soprano","Anthem"
"Sing-Along","Anthem"
"Vocalist","Anthem"
"Orchestra","Anthem"
"Chorus","Anthem"
"Mezzo-Soprano","Anthem"
"Sing-Along","Anthem"
"Children's Chorus","Anthem"
"Piano","Anthem"
"Guest Orchestra","Anthem"
"Chorus","Anthem"
"Vocalist","Anthem"
"Sing-Along","Anthem"
"Baritone","Anthem"
"Jazz Ensemble","Anthem"
"Soprano","Anthem"
"Chorus","Anthem"
"Vocalist","Anthem"
"Sing-Along","Anthem"
"Orchestra","Anthem"
"Vocalist","Anthem"
"Womens Chorus","Anthem"
"Clarinet","Anthem"
"Orchestra","Anthem"
"Mezzo-Soprano","Anthem"
"Sing-Along","Anthem"
"Piano","Anthem"
"Baritone","Anthem"
"Guest Orchestra","Anthem"
"Dancer","Miguel Asins Arbo"
"Dancer","Miguel Asins Arbo"
"Dancer","Miguel Asins Arbo"
"Dancer","Miguel Asins Arbo"
"Dancer","Miguel Asins Arbo"
"Dancer","Miguel Asins Arbo"
"Dancer","Miguel Asins Arbo"
"Dancer","Miguel Asins Arbo"
"Dancer","Miguel Asins Arbo"
"Dancer","Miguel Asins Arbo"
"Dancer","Miguel Asins Arbo"
"Dancer","Miguel Asins Arbo"
"Dancer","Miguel Asins Arbo"
"Dancer","Miguel Asins Arbo"
"Dancer","Miguel Asins Arbo"
"Chorus","Jacques Arcadelt"
"Soprano","Luigi Arditi"
"Soprano","Luigi Arditi"
"Soprano","Luigi Arditi"
"Violin","Anton Stepanovich Arensky"
"Cello","Anton Stepanovich Arensky"
"Cello","Anton Stepanovich Arensky"
"Piano","Anton Stepanovich Arensky"
"Violin","Anton Stepanovich Arensky"
"Violin","Anton Stepanovich Arensky"
"Vocalist","Anton Stepanovich Arensky"
"Viola","Anton Stepanovich Arensky"
"Piano","Anton Stepanovich Arensky"
"Violin","Anton Stepanovich Arensky"
"Cello","Anton Stepanovich Arensky"
"Cello","Anton Stepanovich Arensky"
"Piano","Anton Stepanovich Arensky"
"Violin","Anton Stepanovich Arensky"
"Cello","Anton Stepanovich Arensky"
"Piano","Anton Stepanovich Arensky"
"Cello","Anton Stepanovich Arensky"
"Mezzo-Soprano","Dominick Argento"
"Vocalist","Harold Arlen"
"Vocalist","Harold Arlen"
"Dancer","Harold Arlen"
"Vocalist","Harold Arlen"
"Vocalist","Harold Arlen"
"Piano","Harold Arlen"
"Vocalist","Harold Arlen"
"Piano","Harold Arlen"
"Vocalist","Harold Arlen"
"Dancer","Harold Arlen"
"Soprano","Thomas Arne"
"Soprano","Alexandre Artot"
"Violin","Alexandre Artot"
"Bass Trombone","Alexander Arutunian"
"Trumpet","Alexander Arutunian"
"French Horn","Alexander Arutunian"
"Trumpet","Alexander Arutunian"
"Trombone","Alexander Arutunian"
"Trumpet","Alexander Arutunian"
"Trumpet","Alexander Arutunian"
"Trumpet","Alexander Arutunian"
"Soprano","Daniel-FranÃ§ois Auber"
"Soprano","Daniel-François Auber"
"Soprano","Daniel-François Auber"
"Oboe","Daniel-François Auber"
"Soprano","Daniel-François Auber"
"Piano","Louis Aubert"
"Flute","Louis Aubert"
"Contralto","Louis Aubert"
"Trumpet","Larry Austin"
"Percussion","Larry Austin"
"Contrabass","Larry Austin"
"Orchestra","Jacob Avshalomov"
"Guest Orchestra","Milton Babbitt"
"Soprano","Milton Babbitt"
"Piano","Victor Babin"
"Piano","Victor Babin"
"Violin","Luis Enrique Bacalov"
"Soprano","Luis Enrique Bacalov"
"Vocalist","Luis Enrique Bacalov"
"Vocalist","Luis Enrique Bacalov"
"Soprano","Luis Enrique Bacalov"
"Violin","Luis Enrique Bacalov"
"Violin","Grazyna Bacewicz"
"Violin","Grazyna Bacewicz"
"Violin","Grazyna Bacewicz"
"Violin","Grazyna Bacewicz"
"Violin","Grazyna Bacewicz"
"Flute","Carl Philipp Emanuel Bach"
"Flute","Carl Philipp Emanuel Bach"
"Flute","Carl Philipp Emanuel Bach"
"Piano","Carl Philipp Emanuel Bach"
"Piano","Carl Philipp Emanuel Bach"
"Tenor","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Cello","Johann Sebastian Bach"
"Oboe","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Baritone","Johann Sebastian Bach"
"Harpsichord","Johann Sebastian Bach"
"Oboe","Johann Sebastian Bach"
"Brass Quintet","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Harpsichord","Johann Sebastian Bach"
"Trumpet","Johann Sebastian Bach"
"Trumpet","Johann Sebastian Bach"
"Tenor","Johann Sebastian Bach"
"French Horn","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Trumpet","Johann Sebastian Bach"
"French Horn","Johann Sebastian Bach"
"Contrabass","Johann Sebastian Bach"
"Oboe","Johann Sebastian Bach"
"Contralto","Johann Sebastian Bach"
"French Horn","Johann Sebastian Bach"
"Boys Choir","Johann Sebastian Bach"
"Oboe","Johann Sebastian Bach"
"Chorus","Johann Sebastian Bach"
"Brass Quintet","Johann Sebastian Bach"
"Trumpet","Johann Sebastian Bach"
"Oboe","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Contralto","Johann Sebastian Bach"
"French Horn","Johann Sebastian Bach"
"Tenor","Johann Sebastian Bach"
"Tenor","Johann Sebastian Bach"
"Harpsichord","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Trumpet","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Flute","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Trombone","Johann Sebastian Bach"
"Cello","Johann Sebastian Bach"
"French Horn","Johann Sebastian Bach"
"Children's Chorus","Johann Sebastian Bach"
"Soprano","Johann Sebastian Bach"
"French Horn","Johann Sebastian Bach"
"Bass","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Trombone","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Soprano","Johann Sebastian Bach"
"Soprano","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Chorus","Johann Sebastian Bach"
"Baritone","Johann Sebastian Bach"
"Boys Choir","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Contralto","Johann Sebastian Bach"
"Chorus","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"English Horn","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Bass Trombone","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Mezzo-Soprano","Johann Sebastian Bach"
"Flute","Johann Sebastian Bach"
"Viola","Johann Sebastian Bach"
"Contralto","Johann Sebastian Bach"
"Trombone","Johann Sebastian Bach"
"Dancer","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Boys Choir","Johann Sebastian Bach"
"Flute","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Mezzo-Soprano","Johann Sebastian Bach"
"Contralto","Johann Sebastian Bach"
"Soprano","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Tenor","Johann Sebastian Bach"
"Cello","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Harpsichord","Johann Sebastian Bach"
"Soprano","Johann Sebastian Bach"
"Baritone","Johann Sebastian Bach"
"Viola","Johann Sebastian Bach"
"Bass","Johann Sebastian Bach"
"English Horn","Johann Sebastian Bach"
"Oboe","Johann Sebastian Bach"
"Bass","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Chorus","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Flute","Johann Sebastian Bach"
"Contralto","Johann Sebastian Bach"
"Tuba","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Organ","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Trumpet","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"French Horn","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Trombone","Johann Sebastian Bach"
"Viola","Johann Sebastian Bach"
"Cello","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Harpsichord","Johann Sebastian Bach"
"Tenor","Johann Sebastian Bach"
"Baritone","Johann Sebastian Bach"
"Tenor","Johann Sebastian Bach"
"Soprano","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Bass-Baritone","Johann Sebastian Bach"
"Baritone","Johann Sebastian Bach"
"Flute","Johann Sebastian Bach"
"Trumpet","Johann Sebastian Bach"
"Alto","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Organ","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Organ","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Flute","Johann Sebastian Bach"
"Soprano","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Cello","Johann Sebastian Bach"
"Tuba","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Flute","Johann Sebastian Bach"
"Harpsichord","Johann Sebastian Bach"
"Chorus","Johann Sebastian Bach"
"Soprano","Johann Sebastian Bach"
"French Horn","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Cello","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Soprano","Johann Sebastian Bach"
"Harpsichord","Johann Sebastian Bach"
"Flute","Johann Sebastian Bach"
"Soprano","Johann Sebastian Bach"
"Oboe","Johann Sebastian Bach"
"Bass","Johann Sebastian Bach"
"Organ","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
